replicate,pop,gen,odomS,H0,selModel
9,STM,7,0.2,0.46,incompODomSel
9,STH,7,0.2,0.24,incompODomSel
9,STL,8,0.2,0.64,incompODomSel
9,STM,8,0.2,0.46,incompODomSel
9,STH,8,0.2,0.26,incompODomSel
9,STL,9,0.2,0.5,incompODomSel
9,STM,9,0.2,0.44,incompODomSel
9,STH,9,0.2,0.3,incompODomSel
9,STL,10,0.2,0.58,incompODomSel
9,STM,10,0.2,0.48,incompODomSel
9,STH,10,0.2,0.3,incompODomSel
9,STL,11,0.2,0.52,incompODomSel
9,STM,11,0.2,0.46,incompODomSel
9,STH,11,0.2,0.24,incompODomSel
9,STL,12,0.2,0.48,incompODomSel
9,STM,12,0.2,0.5,incompODomSel
9,STH,12,0.2,0.26,incompODomSel
9,STL,13,0.2,0.44,incompODomSel
9,STM,13,0.2,0.32,incompODomSel
9,STH,13,0.2,0.36,incompODomSel
9,STL,14,0.2,0.38,incompODomSel
9,STM,14,0.2,0.34,incompODomSel
9,STH,14,0.2,0.42,incompODomSel
9,STL,15,0.2,0.34,incompODomSel
9,STM,15,0.2,0.34,incompODomSel
9,STH,15,0.2,0.26,incompODomSel
9,STL,16,0.2,0.22,incompODomSel
9,STM,16,0.2,0.38,incompODomSel
9,STH,16,0.2,0.26,incompODomSel
9,STL,17,0.2,0.14,incompODomSel
9,STM,17,0.2,0.34,incompODomSel
9,STH,17,0.2,0.26,incompODomSel
9,STL,18,0.2,0.14,incompODomSel
9,STM,18,0.2,0.34,incompODomSel
9,STH,18,0.2,0.28,incompODomSel
9,STL,19,0.2,0.12,incompODomSel
9,STM,19,0.2,0.32,incompODomSel
9,STH,19,0.2,0.3,incompODomSel
9,STL,20,0.2,0.1,incompODomSel
9,STM,20,0.2,0.32,incompODomSel
9,STH,20,0.2,0.36,incompODomSel
10,STL,1,0.2,1,incompODomSel
10,STM,1,0.2,1,incompODomSel
10,STH,1,0.2,1,incompODomSel
10,STL,2,0.2,0.64,incompODomSel
10,STM,2,0.2,0.7,incompODomSel
10,STH,2,0.2,0.72,incompODomSel
10,STL,3,0.2,0.58,incompODomSel
10,STM,3,0.2,0.76,incompODomSel
10,STH,3,0.2,0.62,incompODomSel
10,STL,4,0.2,0.58,incompODomSel
10,STM,4,0.2,0.52,incompODomSel
10,STH,4,0.2,0.5,incompODomSel
10,STL,5,0.2,0.6,incompODomSel
10,STM,5,0.2,0.5,incompODomSel
10,STH,5,0.2,0.28,incompODomSel
10,STL,6,0.2,0.68,incompODomSel
10,STM,6,0.2,0.42,incompODomSel
10,STH,6,0.2,0.24,incompODomSel
10,STL,7,0.2,0.62,incompODomSel
10,STM,7,0.2,0.46,incompODomSel
10,STH,7,0.2,0.24,incompODomSel
10,STL,8,0.2,0.64,incompODomSel
10,STM,8,0.2,0.46,incompODomSel
10,STH,8,0.2,0.26,incompODomSel
10,STL,9,0.2,0.5,incompODomSel
10,STM,9,0.2,0.44,incompODomSel
10,STH,9,0.2,0.3,incompODomSel
10,STL,10,0.2,0.58,incompODomSel
10,STM,10,0.2,0.48,incompODomSel
10,STH,10,0.2,0.3,incompODomSel
10,STL,11,0.2,0.52,incompODomSel
10,STM,11,0.2,0.46,incompODomSel
10,STH,11,0.2,0.24,incompODomSel
10,STL,12,0.2,0.48,incompODomSel
10,STM,12,0.2,0.5,incompODomSel
10,STH,12,0.2,0.26,incompODomSel
10,STL,13,0.2,0.44,incompODomSel
10,STM,13,0.2,0.32,incompODomSel
10,STH,13,0.2,0.36,incompODomSel
10,STL,14,0.2,0.38,incompODomSel
10,STM,14,0.2,0.34,incompODomSel
10,STH,14,0.2,0.42,incompODomSel
10,STL,15,0.2,0.34,incompODomSel
10,STM,15,0.2,0.34,incompODomSel
10,STH,15,0.2,0.26,incompODomSel
10,STL,16,0.2,0.22,incompODomSel
10,STM,16,0.2,0.38,incompODomSel
10,STH,16,0.2,0.26,incompODomSel
10,STL,17,0.2,0.14,incompODomSel
10,STM,17,0.2,0.34,incompODomSel
10,STH,17,0.2,0.26,incompODomSel
10,STL,18,0.2,0.14,incompODomSel
10,STM,18,0.2,0.34,incompODomSel
10,STH,18,0.2,0.28,incompODomSel
10,STL,19,0.2,0.12,incompODomSel
10,STM,19,0.2,0.32,incompODomSel
10,STH,19,0.2,0.3,incompODomSel
10,STL,20,0.2,0.1,incompODomSel
10,STM,20,0.2,0.32,incompODomSel
10,STH,20,0.2,0.36,incompODomSel
11,STL,1,0.2,1,incompODomSel
11,STM,1,0.2,1,incompODomSel
11,STH,1,0.2,1,incompODomSel
11,STL,2,0.2,0.8,incompODomSel
11,STM,2,0.2,0.74,incompODomSel
11,STH,2,0.2,0.56,incompODomSel
